host,metric,value,units,timestamp
[redacted],Total memory,8127234048,B,2025-04-30_17-00
[redacted],REDACTED,REDACTED,,2025-04-30_17-00
[redacted],Free swap space,0,B,2025-04-30_17-00
[redacted],CPU system time,3.427502,%,2025-04-30_17-00
[redacted],CPU user time,3.832816,%,2025-04-30_17-00
[redacted],REDACTED,REDACTED,,2025-04-30_17-00
[redacted],System local time,1746032368,unixtime,2025-04-30_17-00
[redacted],Operating system architecture,x86_64,,2025-04-30_17-00
[redacted],Operating system,"Linux version 6.1.0-28-amd64 (debian-kernel@lists.debian.org) (gcc-12 (Debian 12.2.0-14) 12.2.0, GNU ld (GNU Binutils for Debian) 2.40) #1 SMP PREEMPT_DYNAMIC Debian 6.1.119-1 (2024-11-22)",,2025-04-30_17-00
[redacted],Number of installed packages,438,,2025-04-30_17-00
[redacted],Free swap space in %,100,%,2025-04-30_17-00
[redacted],Zabbix agent ping,1,,2025-04-30_17-00
[redacted],Total swap space,0,B,2025-04-30_17-00
[redacted],REDACTED,REDACTED,,2025-04-30_17-00
[redacted],System uptime,5341555,uptime,2025-04-30_17-00
[redacted],Number of logged in users,1,,2025-04-30_17-00
[redacted],Checksum of /etc/passwd,db173fe00e4d09ed43fe1f205fbe4637ce34db66df51b68bbe0e7e97cae0638f,,2025-04-30_17-00
[redacted],Available memory,5152628736,B,2025-04-30_17-00
[redacted],Available memory in %,63.617661,%,2025-04-30_17-00
[redacted],CPU steal time,0,%,2025-04-30_17-00
[redacted],CPU softirq time,0.323861,%,2025-04-30_17-00
[redacted],CPU nice time,0,%,2025-04-30_17-00
[redacted],Load average (1m avg),0.194824,,2025-04-30_17-00
[redacted],Version of Zabbix agent running,7.2.4,,2025-04-30_17-00
[redacted],Maximum number of open file descriptors,9223372036854775807,,2025-04-30_17-00
[redacted],Maximum number of processes,4194304,,2025-04-30_17-00
[redacted],Number of processes,149,,2025-04-30_17-00
[redacted],Number of running processes,1,,2025-04-30_17-00
[redacted],System boot time,1740690822,unixtime,2025-04-30_17-00
[redacted],Interrupts per second,16832.262293777167,,2025-04-30_17-00
[redacted],Load average (5m avg),0.340332,,2025-04-30_17-00
[redacted],CPU iowait time,0.018246,%,2025-04-30_17-00
[redacted],Load average (15m avg),0.364258,,2025-04-30_17-00
[redacted],Number of CPUs,4,,2025-04-30_17-00
[redacted],Context switches per second,33109.34146424456,,2025-04-30_17-00
[redacted],CPU guest time,0,%,2025-04-30_17-00
[redacted],CPU guest nice time,0,%,2025-04-30_17-00
[redacted],CPU idle time,92.554891,%,2025-04-30_17-00
[redacted],CPU interrupt time,0,%,2025-04-30_17-00
[redacted],Zabbix agent availability,1,,2025-04-30_17-00
[redacted],Get filesystems,,,2025-04-30_17-00
[redacted],CPU utilization,7.445109000000002,%,2025-04-30_17-00
[redacted],Memory utilization,36.382339,%,2025-04-30_17-00
[redacted],FS [/]: Get data,"{""fsname"":""/"",""options"":""rw,relatime,errors=remount-ro"",""bytes"":{""used"":11814371328,""free"":65192988672,""total"":80321626112,""pused"":15.341873,""pfree"":84.658127},""fstype"":""ext4"",""inodes"":{""used"":139662,""free"":4742082,""total"":4881744,""pused"":2.860904,""pfree"":97.139096}}",,2025-04-30_17-00
[redacted],FS [/]: Space: Available,65192988672,B,2025-04-30_17-00
[redacted],FS [/]: Option: Read-only,0,,2025-04-30_17-00
[redacted],FS [/]: Space: Used,11814371328,B,2025-04-30_17-00
[redacted],FS [/]: Space: Total,80321626112,B,2025-04-30_17-00
[redacted],"FS [/]: Space: Used, in %",15.341873,%,2025-04-30_17-00
[redacted],"FS [/]: Inodes: Free, in %",97.139096,%,2025-04-30_17-00
[redacted],Interface eth0: Bits received,3800,bps,2025-04-30_17-00
[redacted],Interface tailscale0: Bits received,0,bps,2025-04-30_17-00
[redacted],Interface pterodactyl0: Bits received,0,bps,2025-04-30_17-00
[redacted],Interface eth0: Outbound packets discarded,0,,2025-04-30_17-00
[redacted],Interface tailscale0: Outbound packets discarded,0,,2025-04-30_17-00
[redacted],Interface pterodactyl0: Outbound packets discarded,0,,2025-04-30_17-00
[redacted],Interface eth0: Inbound packets discarded,0,,2025-04-30_17-00
[redacted],Interface tailscale0: Inbound packets discarded,0,,2025-04-30_17-00
[redacted],Interface pterodactyl0: Inbound packets discarded,0,,2025-04-30_17-00
[redacted],Interface eth0: Inbound packets with errors,0,,2025-04-30_17-00
[redacted],Interface tailscale0: Inbound packets with errors,0,,2025-04-30_17-00
[redacted],Interface pterodactyl0: Inbound packets with errors,0,,2025-04-30_17-00
[redacted],Interface eth0: Outbound packets with errors,0,,2025-04-30_17-00
[redacted],Interface tailscale0: Outbound packets with errors,0,,2025-04-30_17-00
